District,Risk,Rain,Ratio
Thoothukudi,NO FLOOD,3.4,0.05
Tiruchchirappalli,NO FLOOD,4.8,0.05
Tirunelveli Kattabo,NO FLOOD,0.7,0.01
Tiruvannamalai,LOW,106.2,1.02
Vellore,LOW,90.0,0.98
Villupuram,LOW,85.8,0.86
Virudhunagar,NO FLOOD,2.0,0.02
Ariyalur,NO FLOOD,19.0,0.17
Chennai,MODERATE,146.0,1.25
Coimbatore,NO FLOOD,11.7,0.15
Cuddalore,NO FLOOD,58.9,0.56
Dharmapuri,NO FLOOD,53.3,0.65
Dindigul,NO FLOOD,5.8,0.06
Erode,NO FLOOD,10.2,0.13
Kancheepuram,MODERATE,134.0,1.25
Kanniyakumari,NO FLOOD,2.7,0.02
Karur,NO FLOOD,0.7,0.01
Madurai,NO FLOOD,1.7,0.02
Nagapattinam,NO FLOOD,26.8,0.2
Namakkal,NO FLOOD,11.1,0.13
Nilgiris,NO FLOOD,12.1,0.11
Perambalur,NO FLOOD,14.8,0.16
Pudukkottai,NO FLOOD,6.9,0.06
Ramanathapuram,NO FLOOD,7.7,0.1
Salem,NO FLOOD,32.6,0.37
Sivaganga,NO FLOOD,5.7,0.06
Thanjavur,NO FLOOD,10.2,0.09
Theni,NO FLOOD,3.4,0.03
Thiruvallur,MODERATE,115.4,1.32
Thiruvarur,NO FLOOD,13.9,0.11
