,Thoothukudi,Tiruchchirappalli,Tirunelveli Kattabo,Tiruvannamalai,Vellore,Villupuram,Virudhunagar,Ariyalur,Chennai,Coimbatore,Cuddalore,Dharmapuri,Dindigul,Erode,Kancheepuram,Kanniyakumari,Karur,Madurai,Nagapattinam,Namakkal,Nilgiris,Perambalur,Pudukkottai,Ramanathapuram,Salem,Sivaganga,Thanjavur,Theni,Thiruvallur,Thiruvarur
2011-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5171578,4.665147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-02,0.0,6.9489,0.0,8.948324,8.937875,8.367418,0.0,0.0,1.1372154,0.0,7.218028,6.1172295,2.9420547,3.1705225,4.9738393,5.0781345,4.619566,0.0,0.0,5.3877544,0.0,8.457625,0.0,0.0,7.8149014,0.0,0.0,0.0,5.502849,0.0
2011-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8539207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.771576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-04,0.0,6.0390244,0.0,22.419296,12.670478,35.93237,0.0,25.524914,23.03808,5.055831,34.746853,9.130276,0.0,7.3611417,23.51512,0.0,0.0,0.0,26.02104,7.0076957,3.5632784,15.076355,0.0,0.0,11.130413,0.0,24.300076,0.0,14.69241,22.480562
2011-01-05,0.0,3.1519175,0.0,1.959959,2.3207552,12.467964,0.0,0.0,0.0,9.003607,14.781046,0.0,0.0,6.202961,0.0,0.0,0.0,0.0,22.969461,0.0,10.916548,5.3095098,0.0,0.0,4.7331405,0.0,16.080421,0.0,2.8871064,21.590786
2011-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7875614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-07,0.0,11.835483,0.0,3.4593267,3.2972512,4.5322185,0.0,0.0,7.1855607,9.743988,8.2438135,5.7134366,6.3431783,7.452356,5.3042474,0.0,5.662699,0.0,8.15507,12.429925,14.2180195,11.867092,0.0,0.0,11.890611,0.0,0.0,0.0,5.0523553,0.0
2011-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5601217,9.153502,0.0,0.0,0.0,0.0,2.3385255,0.0,0.0,0.0,4.6082273,0.0,0.0,0.0,0.0,2.1612651,0.0,0.0,0.0,0.0,0.0,4.122602
2011-01-09,9.013922,12.099525,11.950017,1.898566,1.3341501,9.215193,18.62038,7.500433,3.165247,24.440105,9.279281,0.0,27.202862,7.778908,6.7847953,8.897128,10.99219,19.79268,32.605053,9.803024,0.0,12.072516,13.944121,17.752777,8.602435,14.356721,16.289848,32.90689,4.454131,27.765797
2011-01-10,5.6241217,12.460161,11.062887,0.0,0.0,6.888294,8.766433,15.603251,0.0,7.991117,9.339724,0.0,11.150703,6.8030124,0.0,8.769735,7.9476166,9.236848,15.687707,7.4681735,0.0,10.628581,9.999954,6.7488127,0.0,5.4332933,15.255966,15.764522,0.0,8.845294
2011-01-11,2.4917543,0.0,1.766587,0.0,0.0,0.0,0.0,2.7017787,0.0,0.0,1.9835671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2372503,0.0,2.5859163,0.8857638,0.0,0.0,0.0
2011-01-12,8.599257,2.0755258,27.481604,0.0,0.0,0.0,15.453796,0.0,0.0,0.0,0.0,0.0,5.7894707,0.0,0.0,28.623451,0.0,12.72042,6.496661,0.0,0.0,0.0,8.11234,8.547637,0.0,8.405688,7.815313,14.542363,0.0,6.0740833
2011-01-13,11.070002,6.553581,14.812172,0.0,0.0,0.0,7.282288,8.204901,0.0,0.0,11.4907,0.0,1.9372022,0.0,0.0,14.514643,0.0,3.3420167,22.457792,0.0,0.0,8.886143,10.18364,11.406617,0.0,9.818535,9.2987,0.0,0.0,16.597837
2011-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
